Column,LatLong,Latitude,Longitude,City,cityURI,County,countyQID,State,stateQID
0,32.7457 -101.9396,32.7457,-101.9396,Lamesa,Q970422,Dawson County,Q110670,Texas,Q1439
216,-83.49 31.27,31.27,-83.49,,,Cook County,Q156431,Georgia,Q1428
228,32.73646 -101.95209,32.7365,-101.9521,Lamesa,Q970422,Dawson County,Q110670,Texas,Q1439
380,30.8443 -88.5703,30.8443,-88.5703,Agricola,Q4693850,George County,Q485445,Mississippi,Q1494
407,30.47555 -96.63951,30.4756,-96.6395,,,Burleson County,Q108821,Texas,Q1439
442,30.49031 -96.46397,30.4903,-96.464,Snook,Q977497,Burleson County,Q108821,Texas,Q1439
454,26.15929 -97.99066,26.1593,-97.9907,Weslaco,Q976553,Hidalgo County,Q26519,Texas,Q1439
915,27.79641 -97.40356,27.7964,-97.4036,Corpus Christi,Q49242,Nueces River,Q1468723,Texas,Q1439
1303,34.18859 -101.95293,34.1886,-101.9529,Halfway,Q720975,Hale County,Q111622,Texas,Q1439
1389,33.58451 -101.84501,33.5845,-101.845,Lubbock,Q49273,Lubbock County,Q111790,Texas,Q1439
1689,31.42539 -103.49411,31.4254,-103.4941,Pecos,Q978232,Reeves County,Q112550,Texas,Q1439
1843,33.9467 -113.2328,33.9467,-113.2328,,,Maricopa County,Q58691,Arizona,Q816
1866,35.8356 -89.127245,35.8356,-89.1272,,,Crockett County,Q495022,Tennessee,Q1509
1932,36.06552 -88.9931,36.0655,-88.9931,,,Dyer County,Q495078,Tennessee,Q1509
1991,32.30341 -100.40571,32.3034,-100.4057,,,Nolan County,Q114026,Texas,Q1439
2003,32.30341 -100.405705,32.3034,-100.4057,,,Nolan County,Q114026,Texas,Q1439
2012,31.31266 -92.44568,31.3127,-92.4457,Alexandria,Q985351,Rapides Parish,Q503870,Louisiana,Q1588
3222,31.869205 -101.520035,31.8692,-101.52,,,Glasscock County,Q109293,Texas,Q1439
3265,34.63783 -99.33326,34.6378,-99.3333,Altus,Q446314,Jackson County,Q485030,Oklahoma,Q1649
3382,35.05052 -89.1869,35.0505,-89.1869,Grand Junction,Q3292509,Fayette County,Q502360,Tennessee,Q1509
3418,35.0447 -89.2426,35.0447,-89.2426,La Grange,Q595837,Fayette County,Q502360,Tennessee,Q1509
3663,35.152685 -86.570514,35.1527,-86.5705,,,Fayette County,Q502360,Tennessee,Q1509
3693,35.15874 -90.02521,35.1587,-90.0252,La Grange,Q595837,Fayette County,Q502360,Tennessee,Q1509
3726,35.20431 -89.43055,35.2043,-89.4306,,,Fayette County,Q502360,Tennessee,Q1509
3774,35.213315 -88.990025,35.2133,-88.99,,,Hardeman County,Q502437,Tennessee,Q1509
3788,31.75059 -82.29764,31.7506,-82.2976,,,Appling County,Q488186,Georgia,Q1428
3804,32.842918 -104.397552,32.8429,-104.3976,Artesia,Q707902,Eddy County,Q485245,New Mexico,Q1522
3817,32.84292 -104.39755,32.8429,-104.3976,Artesia,Q707902,Eddy County,Q485245,New Mexico,Q1522
3960,33.2023 -91.80056,33.2023,-91.8006,,,Ashley County,Q61026,Arkansas,Q1612
3990,33.95813 -83.37325,33.9581,-83.3733,Athens,Q203263,Clarke County,Q112061,Georgia,Q1428
4569,31.07874 -92.03204,31.0787,-92.032,,,Avoyelles Parish,Q504435,Louisiana,Q1588
4638,34.09239 -102.82992,34.0924,-102.8299,,,Bailey County,Q107973,Texas,Q1439
4646,30.855 -84.56803,30.855,-84.568,,,Decatur,Q79324,Georgia,Q1428
5069,30.90617 -84.57564,30.9062,-84.5756,Bainbridge,Q788794,Decatur,Q79324,Georgia,Q1428
5281,33.23754 -81.10489,33.2375,-81.1049,,,Bamberg County,Q497890,South Carolina,Q1456
5288,33.113005 -86.583614,33.113,-86.5836,,,Shelby County,Q501084,Alabama,Q173
5300,33.38599 -81.37849,33.386,-81.3785,,,Barnwell County,Q497917,South Carolina,Q1456
5372,35.5377 -90.1329,35.5377,-90.1329,,,Mississippi County,Q61157,Arkansas,Q1612
5382,34.475424 -79.45041,34.4754,-79.4504,,,Dillon County,Q502404,South Carolina,Q1456
5392,34.50831 -79.4756,34.5083,-79.4756,,,Dillon County,Q502404,South Carolina,Q1456
5402,35.87884 -90.66678,35.8788,-90.6668,,,Craighead County,Q61354,Arkansas,Q1612
5417,28.76335 -96.10286,28.7634,-96.1029,,,Matagorda County,Q485910,Texas,Q1439
5442,35.61047 -76.71772,35.6105,-76.7177,,,Beaufort County,Q484639,North Carolina,Q1454
5460,35.26933 -99.680185,35.2693,-99.6802,,,Beckham County,Q491646,Oklahoma,Q1649
5467,32.729891 -93.838996,32.7299,-93.839,,,Caddo Parish,Q177562,Louisiana,Q1588
5477,35.38415 -76.19376,35.3842,-76.1938,,,Hyde County,Q511659,North Carolina,Q1454
5487,34.65659 -86.8793,34.6566,-86.8793,Belle Mina,Q4883662,Limestone County,Q501108,Alabama,Q173
6351,33.64946 -89.3116,33.6495,-89.3116,Bellefontaine,Q4883756,Webster County,Q486435,Mississippi,Q1494
6362,33.1847 -90.489594,33.1847,-90.4896,Belzoni,Q792601,Humphreys County,Q130009,Mississippi,Q1494
6373,33.1944 -90.5433,33.1944,-90.5433,Belzoni,Q792601,Humphreys County,Q130009,Mississippi,Q1494
6393,33.69927 -88.66764,33.6993,-88.6676,Strong,Q11218147,Monroe County,Q491276,Mississippi,Q1494
6405,33.79675 -88.66684,33.7968,-88.6668,Prairie,Q7237807,Monroe County,Q491276,Mississippi,Q1494
6425,31.74284 -83.22302,31.7428,-83.223,,,Ben Hill County,Q111867,Georgia,Q1428
6445,36.76994 -77.15848,36.7699,-77.1585,Southampton County,Q337915,Southampton County,Q337915,Virginia,Q1370
6490,34.64201 -102.72443,34.642,-102.7244,Friona,Q978903,Parmer County,Q484521,Texas,Q1439
6496,31.25955 -83.23587,31.2596,-83.2359,,,Berrien County,Q488868,Georgia,Q1428
6523,36.029405 -76.967055,36.0294,-76.9671,,,Bertie County,Q504335,North Carolina,Q1454
6804,36.06929 -76.96548,36.0693,-76.9655,,,Bertie County,Q504335,North Carolina,Q1454
6895,29.47197 -98.75743,29.472,-98.7574,,,Bexar County,Q16861,Texas,Q1439
6906,33.23454 -88.5828,33.2345,-88.5828,Brooksville,Q892252,Noxubee County,Q490215,Mississippi,Q1494
7636,31.3098 -84.92583,31.3098,-84.9258,,,Early County,Q486757,Georgia,Q1428
7660,33.860795 -101.2423,33.8608,-101.2423,,,Floyd County,Q110528,Texas,Q1439
7690,33.14797 -96.24583,33.148,-96.2458,,,Floyd County,Q110528,Texas,Q1439
7746,33.61039 -114.59884,33.6104,-114.5988,Blythe,Q886915,Riverside County,Q108111,California,Q99
7756,35.959 -89.9709,35.959,-89.9709,Blytheville,Q79401,Mississippi County,Q61157,Arkansas,Q1612
7773,34.07421 -90.75974,34.0742,-90.7597,,,Bolivar County,Q115356,Mississippi,Q1494
7783,32.349731 -90.459869,32.3497,-90.4599,Bolton,Q891642,Hinds County,Q486538,Mississippi,Q1494
7794,35.39972 -119.4659,35.3997,-119.4659,Buttonwillow,Q2347141,Kern County,Q108047,California,Q99
7802,32.41703 -93.640822,32.417,-93.6408,,,Bossier Parish,Q498042,Louisiana,Q1588
7812,32.51594 -93.73538,32.5159,-93.7354,Bossier City,Q877897,Bossier Parish,Q498042,Louisiana,Q1588
8280,32.66684 -93.61361,32.6668,-93.6136,,,Bossier Parish,Q498042,Louisiana,Q1588
8290,34.19457 -90.56492,34.1946,-90.5649,Clarksdale,Q990145,Coahoma County,Q156575,Mississippi,Q1494
8704,31.3598 -92.71893,31.3598,-92.7189,,,Rapides Parish,Q503870,Louisiana,Q1588
8714,35.199195 -89.414045,35.1992,-89.414,,,Fayette County,Q502360,Tennessee,Q1509
8855,35.13938 -86.58372,35.1394,-86.5837,,,Lincoln County,Q490322,Tennessee,Q1509
8899,30.82018 -96.30589,30.8202,-96.3059,,,Brazos County,Q26601,Texas,Q1439
8920,34.47133 -101.30419,34.4713,-101.3042,,,Briscoe County,Q109165,Texas,Q1439
8936,33.18516 -90.48961,33.1852,-90.4896,Belzoni,Q792601,Humphreys County,Q130009,Mississippi,Q1494
8947,33.468 -112.4787,33.468,-112.4787,Buckeye,Q986528,Maricopa County,Q58691,Arizona,Q816
8958,33.07347 -82.00608,33.0735,-82.0061,,,Burke County,Q211360,Georgia,Q1428
9004,30.52618 -96.6584,30.5262,-96.6584,,,Burleson County,Q108821,Texas,Q1439
9014,29.38363 -99.0517,29.3836,-99.0517,,,Medina County,Q110421,Texas,Q1439
9023,32.9838 -90.58738,32.9838,-90.5874,Louise,Q2425044,Humphreys County,Q130009,Mississippi,Q1494
9076,32.96331 -93.9689,32.9633,-93.9689,,,Caddo Parish,Q177562,Louisiana,Q1588
9167,32.7524 -93.83407,32.7524,-93.8341,Belcher,Q2924084,Caddo Parish,Q177562,Louisiana,Q1588
9177,32.63917 -93.90545,32.6392,-93.9055,,,Caddo Parish,Q177562,Louisiana,Q1588
9187,32.82686 -93.84489,32.8269,-93.8449,Gilliam,Q1835764,Caddo Parish,Q177562,Louisiana,Q1588
9197,35.09758 -98.43686,35.0976,-98.4369,Fort Cobb,Q1826591,Caddo Parish,Q177562,Oklahoma,Q1649
9268,34.42937 -100.21081,34.4294,-100.2108,,,Childress County,Q109751,Texas,Q1439
9275,30.87322 -84.23627,30.8732,-84.2363,,,Grady County,Q492061,Georgia,Q1428
9287,33.683029 -88.323631,33.683,-88.3236,Caledonia,Q594529,Lowndes County,Q490879,Mississippi,Q1494
9297,33.6943 -88.3042,33.6943,-88.3042,Caledonia,Q594529,Lowndes County,Q490879,Mississippi,Q1494
9307,33.68952 -80.81127,33.6895,-80.8113,,,Calhoun County,Q489377,South Carolina,Q1456
9526,34.69264 -82.83234,34.6926,-82.8323,,,Calhoun County,Q489377,South Carolina,Q1456
9536,33.663849 -80.776268,33.6639,-80.7763,St. Matthews,Q1193941,Calhoun County,Q489377,South Carolina,Q1456
9621,28.53535 -96.62067,28.5354,-96.6207,,,Calhoun County,Q489377,Texas,Q1439
9641,28.68148 -96.50072,28.6815,-96.5007,,,Calhoun County,Q489377,Texas,Q1439
9671,26.14149 -97.58652,26.1415,-97.5865,,,Cameron County,Q27051,Texas,Q1439
9689,30.85319 -96.97684,30.8532,-96.9768,,,Cameron County,Q27051,Texas,Q1439
9705,32.41012 -82.06437,32.4101,-82.0644,,,Candler County,Q488224,Georgia,Q1428
9714,32.022579 -90.782547,32.0226,-90.7825,Carlisle,Q14693154,Claiborne County,Q492488,Mississippi,Q1494
9722,35.970605 -88.442295,35.9706,-88.4423,,,Carroll County,Q494905,Tennessee,Q1509
9752,35.72164 -88.84112,35.7216,-88.8411,,,Carroll County,Q494905,Tennessee,Q1509
9826,35.56923 -101.17293,35.5692,-101.1729,,,Carson County,Q109155,Texas,Q1439
9842,30.21411 -91.70986,30.2141,-91.7099,,,Catahoula,Q3887862,Louisiana,Q1588
9863,32.64302 -93.90572,32.643,-93.9057,,,Caddo Parish,Q177562,Louisiana,Q1588
9874,33.10576 -88.56112,33.1058,-88.5611,Macon,Q2005266,Noxubee County,Q490215,Mississippi,Q1494
9884,31.174062 -92.405889,31.1741,-92.4059,,,Rapides Parish,Q503870,Louisiana,Q1588
9894,33.203 -101.8439,33.203,-101.8439,Tahoka,Q982084,Lynn County,Q114323,Texas,Q1439
9902,36.32437 -90.07219,36.3244,-90.0722,,,Dunklin County,Q430938,Missouri,Q1581
10183,32.90062 -91.04954,32.9006,-91.0495,Mayersville,Q2387079,Issaquena County,Q490839,Mississippi,Q1494
10203,35.53546 -88.53785,35.5355,-88.5379,,,Chester County,Q494799,Tennessee,Q1509
10225,35.58372 -89.27934,35.5837,-89.2793,,,Haywood County,Q502069,Tennessee,Q1509
10240,32.72662 -102.64505,32.7266,-102.645,Seminole,Q502024,Gaines County,Q109836,Texas,Q1439
10256,"35.93782,-89.62326",35.9378,-89.6233,Chic,Q116535262,Dyer County,Q495078,Tennessee,Q1509
10322,35.0527 -97.9361,35.0527,-97.9361,Chickasha,Q2794790,Grady County,Q484600,Oklahoma,Q1649
10356,33.29484 -91.3067,33.2948,-91.3067,,,Chicot County,Q61458,Arkansas,Q1612
10377,34.25829 -99.5162,34.2583,-99.5162,Chillicothe,Q975508,Hardeman County,Q109317,Texas,Q1439
10460,34.22659 -102.7244,34.2266,-102.7244,Muleshoe,Q982501,Bailey County,Q107973,Texas,Q1439
10468,33.65161 -90.20866,33.6516,-90.2087,Money,Q11013713,Leflore County,Q497607,Mississippi,Q1494
10488,35.61256 -88.84104,35.6126,-88.841,,,Madison County,Q494755,Tennessee,Q1509
10822,28.96917 -96.623825,28.9692,-96.6238,,,Jackson County,Q485030,Texas,Q1439
10832,34.52467 -90.45637,34.5247,-90.4564,Dundee,Q5314785,Tunica County,Q484668,Mississippi,Q1494
10872,33.68511 -87.82897,33.6851,-87.829,,,Fayette County,Q493957,Alabama,Q173
10886,33.685115 -87.828978,33.6851,-87.829,,,Fayette County,Q493957,Alabama,Q173
10894,31.99062 -91.30483,31.9906,-91.3048,,,Tensas Parish,Q512911,Louisiana,Q1588
10903,32.90571 -90.88026,32.9057,-90.8803,Rolling Fork,Q772856,Sharkey County,Q497992,Mississippi,Q1494
11130,35.221 -90.3242,35.221,-90.3242,Clarkedale,Q79659,Crittenden County,Q61346,Arkansas,Q1612
11140,36.45503 -89.96719,36.455,-89.9672,Clarkton,Q963794,Dunklin County,Q430938,Missouri,Q1581
11204,36.281035 -90.65099,36.281,-90.651,,,Clay County,Q61330,Arkansas,Q1612
11225,31.828 -91.4836,31.828,-91.4836,Clayton,Q1856733,Concordia Parish,Q509745,Louisiana,Q1588
11235,34.516911 -79.472687,34.5169,-79.4727,Minturn,Q22073116,Dillon County,Q502404,South Carolina,Q1456
11318,34.08923 -80.16127,34.0892,-80.1613,Elliott,Q27988776,Lee County,Q304065,South Carolina,Q1456
11590,34.405231 -103.205338,34.4052,-103.2053,Clovis,Q985559,Curry County,Q484496,New Mexico,Q1522
11645,32.2528 -109.8317,32.2528,-109.8317,Willcox,Q79450,Cochise County,Q58774,Arizona,Q816
11653,34.36912 -101.74971,34.3691,-101.7497,Kress,Q970226,Swisher County,Q112882,Texas,Q1439
11670,32.91516 -102.41705,32.9152,-102.4171,Loop,Q982276,Gaines County,Q109836,Texas,Q1439
11678,33.97723 -89.6756,33.9772,-89.6756,Coffeeville,Q2283243,Yalobusha County,Q486480,Mississippi,Q1494
11698,33.78398 -89.81,33.784,-89.81,Grenada,Q985543,Grenada County,Q490869,Mississippi,Q1494
11718,30.62054 -96.3259,30.6205,-96.3259,College Station,Q695511,Brazos County,Q26601,Texas,Q1439
12043,29.67888 -96.56011,29.6789,-96.5601,,,Colorado,Q5148681,Texas,Q1439
12064,29.70917 -96.48645,29.7092,-96.4865,,,Colorado,Q5148681,Texas,Q1439
12094,31.18318 -83.76742,31.1832,-83.7674,,,Colquitt County,Q113005,Georgia,Q1428
12112,33.25044 -95.89819,33.2504,-95.8982,Commerce,Q979151,Hunt,Q5943840,Texas,Q1439
12193,31.53504 -99.71087,31.535,-99.7109,,,Concho County,Q109795,Texas,Q1439
12205,31.51707 -91.62435,31.5171,-91.6244,,,Concordia Parish,Q509745,Louisiana,Q1588
12300,36.0804 -119.5399,36.0804,-119.5399,Corcoran,Q913487,Kings County,Q156358,California,Q99
12307,31.92731 -83.78169,31.9273,-83.7817,,,Crisp County,Q156486,Georgia,Q1428
12331,33.58733 -102.37855,33.5873,-102.3786,Levelland,Q970608,Hockley,Q3477808,Texas,Q1439
12342,27.79641 -97.403564,27.7964,-97.4036,Corpus Christi,Q49242,Aransas County,Q107982,Texas,Q1439
12352,27.8002 -97.396,27.8002,-97.396,Corpus Christi,Q49242,Nueces River,Q1468723,Texas,Q1439
12460,35.03 -91.2263,35.03,-91.2263,Cotton Plant,,Woodruff County,Q61204,Arkansas,Q1612
12477,37.22256 -96.86106,37.2226,-96.8611,,,Cowley County,Q376464,Kansas,Q1558
12519,35.848105 -90.661825,35.8481,-90.6618,,,Craighead County,Q61354,Arkansas,Q1612
12550,33.44899 -99.62335,33.449,-99.6234,Munday,Q982249,Knox County,Q110570,Texas,Q1439
12560,35.19859 -90.27208,35.1986,-90.2721,,,Crittenden County,Q61346,Arkansas,Q1612
12570,36.32622 -89.02342,36.3262,-89.0234,,,Crockett County,Q495022,Tennessee,Q1509
12622,33.68513 -101.38359,33.6851,-101.3836,,,Crosby County,Q109279,Texas,Q1439
12639,33.67466 -101.3878,33.6747,-101.3878,Ralls,Q982269,Crosby County,Q109279,Texas,Q1439
12668,37.63067 -98.9049,37.6307,-98.9049,Cullison,Q2422215,Pratt County,Q374604,Kansas,Q1558
12682,34.628414 -103.391315,34.6284,-103.3913,,,Curry County,Q484496,New Mexico,Q1522
12706,35.638565 -99.000095,35.6386,-99.0001,,,Custer County,Q490716,Oklahoma,Q1649
12713,35.614249 -98.659281,35.6142,-98.6593,,,Harmon County,Q486626,Oklahoma,Q1649
12723,33.6408 -90.34749,33.6408,-90.3475,Schlater,Q263048,Leflore County,Q497607,Mississippi,Q1494
12788,34.54383 -101.77568,34.5438,-101.7757,Tulia,Q974357,Swisher County,Q112882,Texas,Q1439
12818,35.41228 -99.41723,35.4123,-99.4172,Elk City,Q1007885,Beckham County,Q491646,Oklahoma,Q1649
12824,32.04915 -96.45899,32.0492,-96.459,,,Navarro County,Q112603,Texas,Q1439
12850,28.395565 -96.626425,28.3956,-96.6264,,,Calhoun County,Q489377,Texas,Q1439
12860,34.3281 -79.8445,34.3281,-79.8445,Darlington,Q428231,Darlington County,Q502285,South Carolina,Q1456
12867,34.44201 -79.88049,34.442,-79.8805,,,Darlington County,Q502285,South Carolina,Q1456
13061,35.21551 -99.86661,35.2155,-99.8666,Erick,Q612755,Beckham County,Q491646,Oklahoma,Q1649
13069,32.29869 -90.18049,32.2987,-90.1805,Mississippi State,Q15253671,Oktibbeha County,Q497615,Mississippi,Q1494
13079,33.46592 -88.81288,33.4659,-88.8129,Starkville,Q770470,Oktibbeha County,Q497615,Mississippi,Q1494
13410,31.39591 -100.68955,31.3959,-100.6896,,,Tom Green County,Q113396,Texas,Q1439
13570,34.43014 -90.21792,34.4301,-90.2179,Sledge,Q2034205,Quitman County,Q490266,Mississippi,Q1494
13591,32.742575 -101.948445,32.7426,-101.9484,,,Dawson County,Q110670,Texas,Q1439
13615,32.92975 -102.12779,32.9298,-102.1278,,,Dawson County,Q110670,Texas,Q1439
13648,31.77901 -84.42712,31.779,-84.4271,,,Terrell County,Q503492,Georgia,Q1428
13660,29.08966 -97.34631,29.0897,-97.3463,,,DeWitt County,Q26712,Texas,Q1439
13670,31.17837 92.38629,31.1784,-92.3863,,,Rapides Parish,Q503870,Louisiana,Q1588
13691,30.86366 -84.57318,30.8637,-84.5732,,,Decatur,Q79324,Georgia,Q1428
13707,31.22886 -92.5493,31.2289,-92.5493,,,Rapides Parish,Q503870,Louisiana,Q1588
13749,33.4064 -90.3812,33.4064,-90.3812,Itta Bena,Q867490,Leflore County,Q497607,Mississippi,Q1494
13783,33.42258 -90.91736,33.4226,-90.9174,Stoneville,Q7619339,Washington County,Q484643,Mississippi,Q1494
14334,33.81337 -91.31035,33.8134,-91.3104,,,Desha County,Q61029,Arkansas,Q1612
14354,29.08587 -97.35285,29.0859,-97.3529,,,DeWitt County,Q26712,Texas,Q1439
14364,29.1021 -97.32836,29.1021,-97.3284,,,DeWitt County,Q26712,Texas,Q1439
14384,34.38945 -79.36016,34.3895,-79.3602,,,Dillon County,Q502404,South Carolina,Q1456
14532,34.41709 -79.3708,34.4171,-79.3708,,,Dillon County,Q502404,South Carolina,Q1456
14542,34.51691 -79.47269,34.5169,-79.4727,Minturn,Q22073116,Dillon County,Q502404,South Carolina,Q1456
14755,35.25998 -91.21984,35.26,-91.2198,Little Dixie,Q14681160,Woodruff County,Q61204,Arkansas,Q1612
14773,34.14645 -99.21404,34.1465,-99.214,,,Wilbarger County,Q114339,Texas,Q1439
14780,32.30606 -101.43472,32.3061,-101.4347,,,Howard County,Q111380,Texas,Q1439
14793,35.110945 -77.06336,35.1109,-77.0634,,,Craven County,Q529958,North Carolina,Q1454
14803,33.59677 -91.73926,33.5968,-91.7393,,,Drew County,Q61478,Arkansas,Q1612
14823,34.66145 -99.56224,34.6615,-99.5622,East Duke,Q1907688,Jackson County,Q485030,Oklahoma,Q1649
14830,35.39578 -100.80281,35.3958,-100.8028,,,Gray County,Q109312,Texas,Q1439
14842,35.42766 -101.32551,35.4277,-101.3255,,,Carson County,Q109155,Texas,Q1439
14854,32.31126 -91.68543,32.3113,-91.6854,,,Franklin Parish,Q504391,Louisiana,Q1588
14875,34.5101 -90.44211,34.5101,-90.4421,,,Tunica County,Q484668,Mississippi,Q1494
14905,33.1176 -89.8753,33.1176,-89.8753,Durant,Q798425,Holmes County,Q485426,Mississippi,Q1494
14915,36.215795 -86.834325,36.2158,-86.8343,,,Dyer County,Q495078,Tennessee,Q1509
15037,31.3171 -84.91275,31.3171,-84.9128,,,Early County,Q486757,Georgia,Q1428
15057,32.75437 -91.23179,32.7544,-91.2318,,,East Carroll Parish,Q505505,Louisiana,Q1588
15108,30.7095 -82.92278,30.7095,-82.9228,,,Echols County,Q493029,Georgia,Q1428
15119,26.14169 -97.58428,26.1417,-97.5843,,,Cameron County,Q27051,Texas,Q1439
15129,35.915845 -77.585415,35.9158,-77.5854,,,Edgecombe County,Q118127,North Carolina,Q1454
15290,35.89871 -77.6163,35.8987,-77.6163,,,Edgecombe County,Q118127,North Carolina,Q1454
15341,32.5623 -80.3136,32.5623,-80.3136,Edisto Beach,Q1903825,Colleton County,Q502473,South Carolina,Q1456
15345,33.56749 -80.9248,33.5675,-80.9248,,,Orangeburg County,Q506068,South Carolina,Q1456
15364,34.9989 -90.3471,34.9989,-90.3471,Edmondson,Q2660653,Crittenden County,Q61346,Arkansas,Q1612
15373,32.3311 -90.60536,32.3311,-90.6054,Edwards,Q1925376,Hinds County,Q486538,Mississippi,Q1494
15414,32.32085 -81.32324,32.3209,-81.3232,,,Effingham County,Q156637,Georgia,Q1428
15428,32.49433 -96.64044,32.4943,-96.6404,,,Ellis County,Q110130,Texas,Q1439
15439,34.44251 -88.84145,34.4425,-88.8415,Ellistown,Q16890989,Tishomingo County,Q112834,Mississippi,Q1494
15479,32.75242 -111.55555,32.7524,-111.5556,Eloy,Q80072,Pinal County,Q58712,Arizona,Q816
15489,32.806 -111.5034,32.806,-111.5034,,,Pinal County,Q58712,Arizona,Q816
15513,35.50823 -75.99707,35.5082,-75.9971,"Engelhard, North Carolina",Q3304453,Hyde County,Q511659,North Carolina,Q1454
15523,33.54077 -89.26799,33.5408,-89.268,Eupora,Q578038,Webster County,Q486435,Mississippi,Q1494
15563,33.94185 -89.32385,33.9419,-89.3239,,,Webster County,Q486435,Mississippi,Q1494
15583,32.413898 -85.728466,32.4139,-85.7285,,,Macon County,Q502777,Alabama,Q173
15606,32.16316 -81.89437,32.1632,-81.8944,,,Evans County,Q493044,Georgia,Q1428
